EP, 12, 2026090612, 03,  CMC, 174, 342N, 1751W,  22, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 12, 2026090612, 03,  CMC, 180, 340N, 1757W,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 12, 2026090612, 03,  UKX,   0, 143N, 1637W,  67,  978, XX,  34, NEQ,  149,   88,   84,  145, 
EP, 12, 2026090612, 03,  UKX,   0, 143N, 1637W,  67,  978, XX,  50, NEQ,   67,   41,   40,   70, 
EP, 12, 2026090612, 03,  UKX,   0, 143N, 1637W,  67,  978, XX,  64, NEQ,   42,    0,    0,   41, 
EP, 12, 2026090612, 03,  UKX,   6, 149N, 1638W,  63,  981, XX,  34, NEQ,  124,  107,   82,  120, 
EP, 12, 2026090612, 03,  UKX,   6, 149N, 1638W,  63,  981, XX,  50, NEQ,   60,   50,   37,   56, 
EP, 12, 2026090612, 03,  UKX,  12, 155N, 1638W,  62,  978, XX,  34, NEQ,  117,  102,   83,  112, 
EP, 12, 2026090612, 03,  UKX,  12, 155N, 1638W,  62,  978, XX,  50, NEQ,   63,   50,   27,   61, 
EP, 12, 2026090612, 03,  UKX,  18, 162N, 1637W,  61,  981, XX,  34, NEQ,  123,  115,   74,  111, 
EP, 12, 2026090612, 03,  UKX,  18, 162N, 1637W,  61,  981, XX,  50, NEQ,   66,   56,   26,   61, 
EP, 12, 2026090612, 03,  UKX,  24, 171N, 1634W,  65,  978, XX,  34, NEQ,  137,  125,   79,  105, 
EP, 12, 2026090612, 03,  UKX,  24, 171N, 1634W,  65,  978, XX,  50, NEQ,   72,   54,   26,   59, 
EP, 12, 2026090612, 03,  UKX,  24, 171N, 1634W,  65,  978, XX,  64, NEQ,   46,    0,    0,    0, 
EP, 12, 2026090612, 03,  UKX,  30, 180N, 1630W,  67,  979, XX,  34, NEQ,  142,  126,   79,  165, 
EP, 12, 2026090612, 03,  UKX,  30, 180N, 1630W,  67,  979, XX,  50, NEQ,   75,   57,   22,   62, 
EP, 12, 2026090612, 03,  UKX,  30, 180N, 1630W,  67,  979, XX,  64, NEQ,   51,    0,    0,    0, 
EP, 12, 2026090612, 03,  UKX,  36, 193N, 1624W,  70,  978, XX,  34, NEQ,  148,  127,   65,  144, 
EP, 12, 2026090612, 03,  UKX,  36, 193N, 1624W,  70,  978, XX,  50, NEQ,   87,   52,   20,   71, 
EP, 12, 2026090612, 03,  UKX,  36, 193N, 1624W,  70,  978, XX,  64, NEQ,   55,    0,    0,   33, 
EP, 12, 2026090612, 03,  UKX,  42, 208N, 1619W,  70,  982, XX,  34, NEQ,  161,  136,   78,  172, 
EP, 12, 2026090612, 03,  UKX,  42, 208N, 1619W,  70,  982, XX,  50, NEQ,   82,    0,   34,   79, 
EP, 12, 2026090612, 03,  UKX,  42, 208N, 1619W,  70,  982, XX,  64, NEQ,   56,    0,    0,    0, 
EP, 12, 2026090612, 03,  UKX,  48, 222N, 1617W,  63,  983, XX,  34, NEQ,  136,  124,   91,  135, 
EP, 12, 2026090612, 03,  UKX,  48, 222N, 1617W,  63,  983, XX,  50, NEQ,   73,   61,   45,   43, 
EP, 12, 2026090612, 03,  UKX,  54, 236N, 1618W,  55,  986, XX,  34, NEQ,  149,  130,   71,  156, 
EP, 12, 2026090612, 03,  UKX,  54, 236N, 1618W,  55,  986, XX,  50, NEQ,   60,   46,   44,   43, 
EP, 12, 2026090612, 03,  UKX,  60, 250N, 1619W,  52,  988, XX,  34, NEQ,  117,  105,   74,  177, 
EP, 12, 2026090612, 03,  UKX,  60, 250N, 1619W,  52,  988, XX,  50, NEQ,   55,   39,    0,    0, 
EP, 12, 2026090612, 03,  UKX,  66, 257N, 1623W,  51,  991, XX,  34, NEQ,  108,  104,   73,  136, 
EP, 12, 2026090612, 03,  UKX,  66, 257N, 1623W,  51,  991, XX,  50, NEQ,    0,    0,    0,   37, 
EP, 12, 2026090612, 03,  UKX,  72, 263N, 1630W,  46,  994, XX,  34, NEQ,  108,  108,   56,   90, 
EP, 12, 2026090612, 03,  UKX,  78, 265N, 1638W,  45,  997, XX,  34, NEQ,  100,   81,    0,   93, 
EP, 12, 2026090612, 03,  UKX,  84, 267N, 1647W,  45,  998, XX,  34, NEQ,  108,   54,    0,   96, 
EP, 12, 2026090612, 03,  UKX,  90, 267N, 1660W,  44, 1000, XX,  34, NEQ,  114,    0,    0,  111, 
EP, 12, 2026090612, 03,  UKX,  96, 266N, 1675W,  37, 1002, XX,  34, NEQ,  134,    0,    0,   97, 
EP, 12, 2026090612, 03,  UKX, 102, 266N, 1690W,  36, 1003, XX,  34, NEQ,   90,    0,    0,   86, 
EP, 12, 2026090612, 03,  UKX, 108, 267N, 1704W,  34, 1004, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 12, 2026090612, 03,  UKX, 114, 267N, 1716W,  31, 1004, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 12, 2026090612, 03,  UKX, 120, 270N, 1726W,  30, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 12, 2026090612, 03,  UKX, 126, 278N, 1730W,  30, 1004, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 12, 2026090612, 03,  UKX, 132, 285N, 1729W,  34, 1003, XX,  34, NEQ,   66,    0,    0,    0, 
EP, 12, 2026090612, 03,  UKX, 138, 295N, 1722W,  37, 1001, XX,  34, NEQ,   71,   90,    0,    0, 
EP, 12, 2026090612, 03,  UKX, 144, 314N, 1729W,  45,  997, XX,  34, NEQ,  151,  156,    0,  111, 
EP, 12, 2026090612, 03, AC00,   0, 143N, 1637W,  69,  967, XX,  34, NEQ,  130,  105,   86,  130, 
