CP, 01, 2026081012, 01, CARQ,  -6, 106N, 1412W,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   C,   0,   X,   0,   0,     INVEST,  , 
CP, 01, 2026081012, 01, CARQ,   0, 106N, 1412W,  20, 1006, DB,  34, NEQ,    0,    0,    0,    0, 1008,  180, 120,   0,   0,   C,   0,   X,   0,   0,     INVEST, S, 
CP, 01, 2026081012, 01, CARQ,   0, 106N, 1412W,  20, 1006, DB,  50, NEQ,    0,    0,    0,    0, 1008,  180, 120,   0,   0,   C,   0,   X,   0,   0,     INVEST, S, 
CP, 01, 2026081012, 01, CARQ,   0, 106N, 1412W,  20, 1006, DB,  64, NEQ,    0,    0,    0,    0, 1008,  180, 120,   0,   0,   C,   0,   X,   0,   0,     INVEST, S, 
CP, 01, 2026081018, 01, CARQ, -24, 101N, 1412W,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   C,   0,   X,   0,   0,     INVEST,  , 
CP, 01, 2026081018, 01, CARQ, -18, 105N, 1412W,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   C,   0,   X,   0,   0,     INVEST,  , 
CP, 01, 2026081018, 01, CARQ, -12, 106N, 1412W,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   C,   0,   X, 360,   0,     INVEST,  , 
CP, 01, 2026081018, 01, CARQ,  -6, 106N, 1412W,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   C,   0,   X,   0,   0,     INVEST,  , 
CP, 01, 2026081018, 01, CARQ,   0, 105N, 1410W,  20, 1006, DB,  34, NEQ,    0,    0,    0,    0, 1009,  180, 120,   0,   0,   C,   0,   X,   0,   0,     INVEST, S, 
CP, 01, 2026081018, 01, CARQ,   0, 105N, 1410W,  20, 1006, DB,  50, NEQ,    0,    0,    0,    0, 1009,  180, 120,   0,   0,   C,   0,   X,   0,   0,     INVEST, S, 
CP, 01, 2026081018, 01, CARQ,   0, 105N, 1410W,  20, 1006, DB,  64, NEQ,    0,    0,    0,    0, 1009,  180, 120,   0,   0,   C,   0,   X,   0,   0,     INVEST, S, 
CP, 01, 2026081100, 01, CARQ, -24, 105N, 1412W,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   C,   0,   X,   0,   0,     INVEST,  , 
CP, 01, 2026081100, 01, CARQ, -18, 106N, 1412W,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   C,   0,   X,   0,   0,     INVEST,  , 
CP, 01, 2026081100, 01, CARQ, -12, 106N, 1412W,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   C,   0,   X, 117,   1,     INVEST,  , 
CP, 01, 2026081100, 01, CARQ,  -6, 105N, 1410W,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   C,   0,   X,   0,   0,     INVEST,  , 
CP, 01, 2026081100, 01, CARQ,   0, 104N, 1407W,  20, 1006, DB,  34, NEQ,    0,    0,    0,    0, 1009,  180, 120,   0,   0,   C,   0,   X,  90,   1,     INVEST, S, 
CP, 01, 2026081100, 01, CARQ,   0, 104N, 1407W,  20, 1006, DB,  50, NEQ,    0,    0,    0,    0, 1009,  180, 120,   0,   0,   C,   0,   X,  90,   1,     INVEST, S, 
CP, 01, 2026081100, 01, CARQ,   0, 104N, 1407W,  20, 1006, DB,  64, NEQ,    0,    0,    0,    0, 1009,  180, 120,   0,   0,   C,   0,   X,  90,   1,     INVEST, S, 
CP, 01, 2026081106, 01, CARQ, -24, 106N, 1412W,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   C,   0,   X,   0,   0,     INVEST,  , 
CP, 01, 2026081106, 01, CARQ, -18, 106N, 1412W,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   C,   0,   X,   0,   0,     INVEST,  , 
CP, 01, 2026081106, 01, CARQ, -12, 105N, 1410W,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   C,   0,   X, 112,   3,     INVEST,  , 
CP, 01, 2026081106, 01, CARQ,  -6, 104N, 1407W,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   C,   0,   X,   0,   0,     INVEST,  , 
CP, 01, 2026081106, 01, CARQ,   0, 107N, 1408W,  25, 1006, DB,  34, NEQ,    0,    0,    0,    0, 1009,  180, 120,   0,   0,   C,   0,   X,   0,   2,     INVEST, S, 
CP, 01, 2026081106, 01, CARQ,   0, 107N, 1408W,  25, 1006, DB,  50, NEQ,    0,    0,    0,    0, 1009,  180, 120,   0,   0,   C,   0,   X,   0,   2,     INVEST, S, 
CP, 01, 2026081106, 01, CARQ,   0, 107N, 1408W,  25, 1006, DB,  64, NEQ,    0,    0,    0,    0, 1009,  180, 120,   0,   0,   C,   0,   X,   0,   2,     INVEST, S, 
CP, 01, 2026081112, 01, CARQ, -24, 106N, 1412W,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   C,   0,   X,   0,   0,     INVEST,  , 
CP, 01, 2026081112, 01, CARQ, -18, 105N, 1410W,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   C,   0,   X,   0,   0,     INVEST,  , 
CP, 01, 2026081112, 01, CARQ, -12, 104N, 1407W,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   C,   0,   X,  44,   1,     INVEST,  , 
CP, 01, 2026081112, 01, CARQ,  -6, 107N, 1408W,  25,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   C,   0,   X,   0,   0,     INVEST,  , 
CP, 01, 2026081112, 01, CARQ,   0, 110N, 1410W,  25, 1006, DB,  34, NEQ,    0,    0,    0,    0, 1008,  180, 120,   0,   0,   C,   0,   X,   0,   0,     INVEST, S, 
CP, 01, 2026081112, 01, CARQ,   0, 110N, 1410W,  25, 1006, DB,  50, NEQ,    0,    0,    0,    0, 1008,  180, 120,   0,   0,   C,   0,   X,   0,   0,     INVEST, S, 
CP, 01, 2026081112, 01, CARQ,   0, 110N, 1410W,  25, 1006, DB,  64, NEQ,    0,    0,    0,    0, 1008,  180, 120,   0,   0,   C,   0,   X,   0,   0,     INVEST, S, 
CP, 01, 2026081118, 01, CARQ, -24, 147N, 1373W,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   C,   0,   X,   0,   0,     INVEST,  , 
CP, 01, 2026081118, 01, CARQ, -18, 148N, 1373W,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   C,   0,   X,   0,   0,     INVEST,  , 
CP, 01, 2026081118, 01, CARQ, -12, 148N, 1373W,  25,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   C,   0,   X, 316,   1,     INVEST,  , 
CP, 01, 2026081118, 01, CARQ,  -6, 149N, 1374W,  25,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   C,   0,   X,   0,   0,     INVEST,  , 
CP, 01, 2026081118, 01, CARQ,   0, 150N, 1375W,  25, 1006, DB,  34, NEQ,    0,    0,    0,    0, 1008,  180, 120,   0,   0,   C,   0,   X,   0,   0,     INVEST, S, 
CP, 01, 2026081118, 01, CARQ,   0, 150N, 1375W,  25, 1006, DB,  50, NEQ,    0,    0,    0,    0, 1008,  180, 120,   0,   0,   C,   0,   X,   0,   0,     INVEST, S, 
CP, 01, 2026081118, 01, CARQ,   0, 150N, 1375W,  25, 1006, DB,  64, NEQ,    0,    0,    0,    0, 1008,  180, 120,   0,   0,   C,   0,   X,   0,   0,     INVEST, S, 
CP, 01, 2026081200, 01, CARQ, -24, 148N, 1373W,  20,    0, LO,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   C,   0,   X,   0,   0,     INVEST,  , 
